,Edad,Trabajo,Estado Civil,Fomación,Impago,Prestamo hipotecario,Prestamo Personal,Canal de contacto,Mes,Dia de la semana,num contactos esta campaña,num días último contacto,num contactos otras campañas,resultado campaña anterior,variación tasa empleo,euribor3m,contrata_fondos
0,44.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,,1,999,0,nonexistent,14,4963,0
1,53.0,technician,married,unknown,no,no,no,cellular,nov,,1,999,0,nonexistent,-1,4021,0
2,28.0,management,single,university.degree,no,yes,no,cellular,jun,,3,6,2,success,-17,729,1
3,39.0,services,married,high.school,no,no,no,cellular,apr,,2,999,0,nonexistent,-18,1405,0
4,55.0,retired,married,,no,yes,no,cellular,aug,,1,3,1,success,-29,869,1
5,30.0,management,divorced,basic.4y,no,yes,no,cellular,jul,,8,999,0,nonexistent,14,4961,0
6,,blue-collar,married,basic.4y,no,yes,no,cellular,may,,1,999,0,nonexistent,-18,1327,0
7,39.0,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,1,999,0,nonexistent,-18,1313,0
8,36.0,admin.,married,,no,no,no,cellular,jun,,1,3,1,success,-29,1266,1
9,27.0,blue-collar,single,basic.4y,no,yes,no,cellular,apr,,2,999,1,failure,-18,141,0
10,34.0,housemaid,single,university.degree,no,no,no,telephone,may,,2,999,0,nonexistent,11,4864,0
11,41.0,management,married,university.degree,no,yes,no,cellular,aug,,1,999,0,nonexistent,14,4964,0
12,55.0,management,married,university.degree,no,no,no,cellular,aug,,3,999,0,nonexistent,14,4965,1
13,33.0,services,divorced,high.school,no,yes,no,cellular,may,,5,999,0,nonexistent,-18,1291,0
14,26.0,admin.,married,high.school,no,no,yes,telephone,jun,,1,999,0,nonexistent,14,496,0
15,52.0,services,married,high.school,unknown,yes,no,cellular,jul,,2,999,0,nonexistent,14,4962,0
16,35.0,services,married,high.school,no,no,no,cellular,apr,,2,999,0,nonexistent,-18,1365,1
17,,admin.,single,university.degree,no,no,no,telephone,oct,,1,999,0,nonexistent,-1,486,1
